Description,Category,Sub-Category,Title,Link,IconURL,Icon,FilePath
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Business Insider,https://www.businessinsider.com.au/,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Business_Insider_Logo.svg/1920px-Business_Insider_Logo.svg.png,,resources/finance/finance-reading/business-insider.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Digital Finance Analytics,https://digitalfinanceanalytics.com/blog/,https://digitalfinanceanalytics.com/blog/wp-content/uploads/2016/07/cropped-DFA-Blog-Nar-Flat-Logo-New-192x192.jpg,,resources/finance/finance-reading/dfa.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,FINSIA,https://www.finsia.com/,https://www.finsia.com/images/default-source/finsia-v3/logos/finsia-logo.jpg?sfvrsn=d5f19993_0,,resources/finance/finance-reading/finsia.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,FX Street,https://www.fxstreet.com/,https://i2.wp.com/about.fxstreet.com/wp-content/uploads/2013/02/1.jpg?resize=198%2C70,,resources/finance/finance-reading/fx-street.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Gartner Finance Knowledge Hub,https://www.cebglobal.com/public/finance/login.html?resource=/member/finance/events-and-training/finance-knowledge-hub.html%3f%25253freferrerTitle=Finance%25252520Knowledge%25252520Hub,https://www.cebglobal.com/content/finance/us/en/public/_jcr_content/content-top/header.img.png/1533587234894.png,,resources/finance/gartner.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Internal Consulting,https://internalconsulting.com/tir/the-insights-review-march-2020/,https://internalconsulting.com/wp-content/uploads/2019/12/ICG-Logo-2019-100px.jpg,,resources/finance/finance-reading/internal-consulting.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Investopedia,https://www.investopedia.com/,https://www.investopedia.com/static/1.98.0/icons/favicons/apple-touch-icon-180x180.png,,resources/finance/finance-reading/investopedia.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Moodys,https://www.moodys.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Moody%E2%80%99s_logo.svg/1920px-Moody%E2%80%99s_logo.svg.png,,resources/finance/finance-reading/moodys.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Praxiom,https://www.praxiom.com/iso-31000-terms.htm,,fab fa-readme,resources/finance/finance-reading/praxiom.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Reserve Bank of Australia,https://www.rba.gov.au/,https://www.rba.gov.au/assets/images/logos/favicon-152.png,,resources/finance/finance-reading/rba.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Reuters,https://www.reuters.com/,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Reuters_Logo.svg/1920px-Reuters_Logo.svg.png,,resources/finance/finance-reading/reuters.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,Standard and Poors,https://www.standardandpoors.com/en_AU/web/guest/home,https://upload.wikimedia.org/wikipedia/en/7/75/S%26P_Global_Ratings_logo.png,,resources/finance/finance-reading/standard-and-poors.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,The Corporate Treasurer,https://www.thecorporatetreasurer.com/,https://www.thecorporatetreasurer.com/Content/img/logo_l_blue.png,,resources/finance/finance-reading/the-corporate-treasurer.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,The Treasurers Handbook,https://wiki.treasurers.org/wiki/The_Treasurers_Handbook -,,fas fa-book,resources/finance/finance-reading/the-treasurers-handbook.md
Free access to various sites detailing the latest financial news and analysis,Finance,Finance Reading,US Federal Reserve,https://www.federalreserve.gov/,https://upload.wikimedia.org/wikipedia/commons/1/1a/Seal_of_the_United_States_Federal_Reserve_System.svg,,resources/finance/finance-reading/us-federal-reserve.md
Free access to 1000s of MIT courses,Personal Development,,MIT Open Courseware,https://ocw.mit.edu/help/get-started-with-ocw/,https://ocw.mit.edu/images/logo_mit.png,,resources/personal-development/mit-opencourseware.md
Free access to 1000s of courses from the worlds best institutions,Personal Development,,Class Central,https://www.classcentral.com/collection/ivy-league-moocs,https://www.classcentral.com/bundles/classcentralsite/slashpixel/images/cc.logo.png,,resources/personal-development/class-central.md
Explore Thousands of Inspiring Classes For Creative and Curious People,Creative,,Skillshare,https://www.skillshare.com/,https://static.skillshare.com/assets/images/favicons/favicon-512.png,,resources/creative/skillshare.md
Explore the very basics of Linux,Cloud,,Linux,https://linuxacademy.com/,,fab fa-linux,resources/cloud/linux.md
Explore multiple courses related to learning coding,Coding Fundamentals,,Pluralsight,https://www.pluralsight.com/,https://www.pluralsight.com/etc/clientlibs/pluralsight/main/images/favicons/apple-touch-icon-180x180.png,,resources/coding-fundamentals/pluralsight.md
Discover the World Economic Forum's view on the future of work,Future of Work and Learning,,World Economic Forum,http://reports.weforum.org/future-of-jobs-2018/,https://upload.wikimedia.org/wikipedia/commons/b/b6/World_Economic_Forum_logo.svg,,resources/future-of-work-and-learning/World-Economic-Forum.md
Discover the World Economic Forum's view on the future of work,Future of Work and Learning,,World Economic Forum Jobs of Tomorrow,http://www3.weforum.org/docs/WEF_Jobs_of_Tomorrow_2020.pdf,https://upload.wikimedia.org/wikipedia/commons/b/b6/World_Economic_Forum_logo.svg,,resources/future-of-work-and-learning/World-Economic-Forum-Jobs-of-Tomorrow.md
Discover how banks manage risk in increasingly volatile markets,Finance,Finance Learning,EdX - Risk Management in Banking and Finance,https://www.edx.org/professional-certificate/iimbx-risk-management-in-banking-and-financial-markets,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/EdX.svg/1920px-EdX.svg.png,,resources/finance/finance-reading/edx-risk-management-in-banking-and-finance.md
Discover everything there is to learn about Splunk - a data visualization tool,DevOps,,splunk,https://education.splunk.com/course/splunk-7x-fundamentals-part-1-elearning,https://education.splunk.com/static/skin/lde-skin-splunk/resources/images/favicon.ico,,resources/devops/docker.md
Digital marketing 101 from Google,Marketing,,Google Analytics Academy,https://analytics.google.com/analytics/academy/,https://storage.googleapis.com/exceedlms-external-uploads-production/uploads/organizations/branding_logos/9/full/logo-google-fullcolor-3x-464x153px.png?1560524541,,resources/marketing/google-analytics-academy.md
Digital marketing 101 from Google,Marketing,,Google Skillshop,https://skillshop.exceedlms.com/student/catalog/list?category_ids=86-google-marketing-platform%3Fuse_local%3Dtrue&utm_source=website_17th_sep&utm_medium=explore_menu&utm_campaign=gmp_1st_tier,https://storage.googleapis.com/exceedlms-external-uploads-production/uploads/organizations/branding_logos/9/full/logo-google-fullcolor-3x-464x153px.png?1560524541,,resources/marketing/google-skillshop.md
Digital marketing 101 from Facebook,Marketing,,Facebook Blueprint,https://www.facebook.com/business/learn,https://scontent.fsyd4-1.fna.fbcdn.net/v/t39.2365-6/34587667_1767521663328825_4485722079403966464_n.svg?_nc_cat=1&_nc_sid=ad8a9d&_nc_ohc=vL1W3fousDUAX9oqU8I&_nc_ht=scontent.fsyd4-1.fna&oh=6ee05985328bb2496af62cd389172b0f&oe=5EB76CD8,,resources/marketing/facebook-blueprint.md
Deloitte's view on the skills needed for the jobs of the future,Future of Work and Learning,,Deloitte,https://www2.deloitte.com/content/dam/Deloitte/rs/Documents/human-capital/DI_Expected-skills-needs-for-the-future-of-work%20(1).pdf,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Deloitte.svg/1920px-Deloitte.svg.png,,resources/future-of-work-and-learning/Deloitte.md
"Courses related to New Relic, software used for monitoring and alerting",DevOps,,New Relic,https://learn.newrelic.com/,https://newrelic.com/etc/designs/newrelic/products-icon/apple-touch-icon.png,,resources/devops/new-relic.md
As the name suggests - get AWS certified in a week,Cloud,,AWS - Get certified in a week,http://getcertifiedinaweek.com/,,fab fa-aws,resources/cloud/certified-in-a-week.md
Article from The Atlantic on the future of work,Future of Work and Learning,,The Atlantic,https://www.theatlantic.com/magazine/archive/2019/07/future-of-work-expertise-navy/590647/,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/The_Atlantic_Logo_11.2019.svg/1920px-The_Atlantic_Logo_11.2019.svg.png,,resources/future-of-work-and-learning/The-Atlantic.md
ANZ's Sustainability report,"Environmental, Sustainability and Governance",,ANZ Sustainability Reporting,https://www.anz.com.au/about-us/sustainability/reporting/sustainability-reporting/,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/ANZ-brand.svg/1920px-ANZ-brand.svg.png,,resources/environment-sustainability-and-governance/anz-sustainability.md
Another great course from Coursera,Finance,Finance Learning,Coursera - Excel,https://www.coursera.org/specializations/excel,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/android-chrome-192x192.png,,resources/finance/finance-reading/coursera-excel.md
Another great course from Coursera,Finance,Finance Learning,Coursera - Financial Engineering and Risk Management,https://www.coursera.org/learn/financial-engineering-1,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/android-chrome-192x192.png,,resources/finance/finance-reading/coursera-financial-engineering-and-risk-management.md
Another great course from Coursera,Finance,Finance Learning,Coursera - Financial Markets 1,https://www.coursera.org/learn/understanding-financial-markets/home/welcome,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/android-chrome-192x192.png,,resources/finance/finance-reading/coursera-financial-markets-1.md
Another great course from Coursera,Finance,Finance Learning,Coursera - Financial Markets 2,https://www.coursera.org/learn/financial-markets-global,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/android-chrome-192x192.png,,resources/finance/finance-reading/coursera-financial-markets-2.md
Another collection of courses designed to teach you about all things data,Data,,Datacamp,https://www.datacamp.com/,https://static.datacamp.com/static/favicon-d811b61119bd98ec2518939e56e7bf08.ico,,resources/data/datacamp.md
An extremely popular course from Coursera; relevant in these current times,Personal Development,,The science of well-being,https://www.coursera.org/learn/the-science-of-well-being,https://d3njjcbhbojbot.cloudfront.net/web/images/favicons/android-chrome-192x192.png,,resources/personal-development/science-wellbeing.md
All things Google Cloud Platform from Google,Cloud,,GCP,https://google.qwiklabs.com/,,fab fa-google,resources/cloud/gcp.md
All things digital marketing from Adobe,SaaS,,Adobe Digital Learning,https://learning.adobe.com/catalog.html?trainingMethod=Virtual%20Public,https://www.adobe.com/content/dam/cc/icons/adobe-A.svg,,resources/saas/adobe-digital-learning.md
All things digital marketing from Adobe,SaaS,,Adobe Experience League,https://experienceleague.adobe.com/#recommended/solutions/analytics,https://experienceleague.adobe.com/assets/img/icon_192.png,,resources/saas/adobe-experience-league.md
AI and machine learning content from Google,Data,AI and Machine Learning,AI Hub Intro,https://cloud.google.com/ai-platform/docs/technical-overview,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/data/ai-ml/ai-hub-intro.md
AI and machine learning content from Google,Data,AI and Machine Learning,AI Hub Intro (Video),https://www.youtube.com/watch?v=QMTT2ngnj9Q&feature=youtu.be,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/data/ai-ml/ai-hub-intro-video.md
AI and machine learning content from Google,Data,AI and Machine Learning,AI Platform Notebooks (Video),https://www.coursera.org/lecture/google-machine-learning/demo-ai-platform-notebooks-hFr5g,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/data/ai-ml/ai-platform-notebooks.md
AI and machine learning content from Google,Data,AI and Machine Learning,Build a Fraud Detection model on Cloud AI Platform,https://codelabs.developers.google.com/codelabs/fraud-detection-with-bigquery-and-tensorflow-enterprise/index.html?index=..%2F..index#3,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/data/ai-ml/fraud-detection.md
AI and machine learning content from Google,Data,AI and Machine Learning,Explaining a fraud detection model with Cloud AI Platform,https://codelabs.developers.google.com/codelabs/fraud-detection-ai-explanations/index.html?index=..%2F..index#0,https://www.gstatic.com/devrel-devsite/prod/vafbb0b5d787a2bc7a3bcbfb9dfdb3baefdd01831979d5302dd65271466576cda/cloud/images/cloud-logo.svg?dcb_=0.06609720061385493,,resources/data/ai-ml/fraud-detection-tensorflow.md
A variety of different courses focussed on data essentials,DevOps,,Datacamp,https://www.datacamp.com/,https://static.datacamp.com/static/favicon-d811b61119bd98ec2518939e56e7bf08.ico,,resources/devops/splunk.md
"A new form of art education founded, curated, and powered by industry-leading artists",Creative,,Learnsquared,https://www.learnsquared.com/,https://www.learnsquared.com/sites/all/themes/learn2/images/favicons/favicon-196x196.png,,resources/creative/learnsquared.md
A collection of various content related to cyber security,Security,,Cybrary,https://www.cybrary.it/,https://pbs.twimg.com/media/EUe9vFTWkAATP-L.jpg,,resources/security/cybrary.md
,Cloud,,Cloud,,,fas fa-cloud,resources/cloud/_index.md
,Coding Fundamentals,,Coding Fundamentals,,,fas fa-laptop-code,resources/coding-fundamentals/_index.md
,Creative,,Creative,,,fas fa-palette,resources/creative/_index.md
,Data,AI and Machine Learning,AI - Machine Learning,,,fas fa-flask,resources/data/ai-ml/_index.md
,Data,,Data,,,fas fa-database,resources/data/_index.md
,Data,,Google BigQuery,,https://upload.wikimedia.org/wikipedia/commons/8/89/Google-BigQuery-Logo.svg,,resources/data/google-bigquery/_index.md
,DevOps,,DevOps,,,fas fa-cogs,resources/devops/_index.md
,"Environmental, Sustainability and Governance",,"Environmental, Sustainability and Governance",,,fas fa-leaf,resources/environment-sustainability-and-governance/_index.md
,Finance,,Finance,,,fas fa-dollar-sign,resources/finance/_index.md
,Finance,Finance Reading,Finance Reading,,,fas fa-file-invoice-dollar,resources/finance/finance-reading/_index.md
,Future of Work and Learning,,Future of Work and Learning,,,fas fa-user-graduate,resources/future-of-work-and-learning/_index.md
,Health,,Health,,,fas fa-heart,resources/health/_index.md
,Marketing,,Marketing,,,fas fa-search-dollar,resources/marketing/_index.md
,Personal Development,,Personal Development,,,fas fa-seedling,resources/personal-development/_index.md
,SaaS,,Software as a Service,,,fas fa-desktop,resources/saas/_index.md
,Security,,Security,,,fas fa-user-shield,resources/security/_index.md